Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,SpO2,BPM,PiezoVal,AnimalTemp,EnvTemp,EnvHumid,Behavior_Label
21:38:03.537,1.52,1.02,9.49,-0.11,-0.09,-0.01,98,0,329,29.50,29.90,78.40,RESTING
21:38:03.552,1.55,0.98,9.88,-0.13,-0.11,0.12,98,0,1313,29.50,29.90,78.40,RESTING
21:38:03.642,1.82,0.91,9.90,-0.06,0.01,0.12,98,0,235,29.50,29.90,78.40,RESTING
21:38:03.643,1.81,0.84,9.89,-0.08,-0.17,0.11,98,0,1360,29.50,29.90,78.40,RESTING
21:38:03.675,1.88,0.79,9.92,-0.09,-0.20,0.06,98,0,0,29.50,29.90,78.40,RESTING
21:38:03.713,1.80,0.76,9.88,-0.07,-0.20,0.14,98,0,1501,29.50,29.90,78.40,RESTING
21:38:03.770,2.06,0.77,10.00,-0.07,-0.10,0.18,98,0,239,29.50,29.90,78.40,RESTING
21:38:03.796,2.22,0.78,9.98,-0.04,-0.21,0.27,98,0,1262,29.50,29.90,78.40,RESTING
21:38:03.834,2.41,0.90,9.86,0.04,-0.23,0.28,98,0,231,29.50,29.90,78.40,RESTING
21:38:03.918,2.86,0.96,9.39,0.11,-0.02,0.31,98,0,1306,29.50,29.90,78.40,RESTING
21:38:03.919,2.82,0.90,9.30,0.07,-0.02,0.24,98,0,73,29.50,29.90,78.40,RESTING
21:38:03.950,2.77,0.93,9.47,0.02,-0.17,0.11,98,0,1520,29.50,29.90,78.40,RESTING
21:38:03.993,2.67,0.98,9.51,-0.06,-0.10,0.03,98,0,720,29.50,29.90,78.40,RESTING
21:38:04.048,2.49,0.74,9.81,-0.04,0.03,0.01,98,0,1134,29.50,29.90,78.40,RESTING
21:38:04.134,2.47,0.66,9.76,-0.09,0.11,0.03,98,0,720,29.50,29.90,78.40,RESTING
21:38:04.135,2.27,0.89,10.22,-0.18,0.30,-0.09,98,0,921,29.50,29.90,78.40,RESTING
21:38:04.166,1.84,1.09,10.46,-0.07,0.35,-0.07,98,0,639,29.50,29.90,78.40,RESTING
21:38:04.228,-0.88,1.53,10.68,0.11,0.34,0.08,98,0,995,29.50,29.90,78.40,RESTING
21:38:04.232,-1.07,1.36,10.83,0.44,0.89,0.62,98,0,573,29.50,29.90,78.40,RESTING
21:38:04.270,2.76,0.84,9.33,0.16,0.51,0.28,98,0,1345,29.50,29.90,78.40,RESTING
21:38:04.362,2.54,1.36,9.43,-0.21,-0.16,0.05,98,0,567,29.50,29.90,78.40,RESTING
21:38:04.363,2.06,1.34,10.06,-0.10,0.23,0.01,98,0,1507,29.50,29.90,78.40,RESTING
21:38:04.404,1.16,1.25,10.63,0.03,0.35,0.09,98,0,48,29.50,29.90,78.40,RESTING
21:38:04.499,1.10,1.38,10.13,0.08,0.20,0.16,98,0,1575,29.50,29.90,78.40,RESTING
21:38:04.500,1.05,1.60,9.33,0.12,0.33,0.26,98,0,415,29.50,29.90,78.40,RESTING
21:38:04.510,1.33,1.40,9.24,0.08,0.59,0.38,98,0,950,29.50,29.90,78.40,RESTING
21:38:04.596,1.04,1.17,9.49,-0.10,0.49,0.33,98,0,325,29.50,29.90,78.40,RESTING
21:38:04.615,0.53,1.50,10.13,-0.02,0.55,0.31,98,0,1118,29.50,29.90,78.40,RESTING
21:38:04.666,0.88,1.10,10.04,0.18,0.51,0.22,98,0,432,29.50,29.90,78.40,RESTING
21:38:04.670,-0.24,1.53,9.81,-0.18,0.10,0.43,98,0,1626,29.50,29.90,78.40,RESTING
21:38:04.736,0.29,1.61,9.79,-0.13,-0.14,0.30,98,0,439,29.50,29.90,78.40,RESTING
21:38:04.762,0.57,1.98,10.22,-0.19,-0.32,0.28,98,0,1461,29.50,29.90,78.40,RESTING
21:38:04.796,0.72,1.53,10.71,-0.19,-0.19,-0.04,98,0,297,29.50,29.90,78.40,RESTING
21:38:04.831,0.82,1.20,10.72,0.03,-0.15,-0.45,98,0,1068,29.50,29.90,78.40,RESTING
21:38:04.908,-0.14,1.21,10.04,-0.60,0.38,-0.20,98,0,203,29.50,29.90,78.40,RESTING
21:38:04.909,0.09,0.77,9.97,0.01,0.15,0.19,98,0,879,29.50,29.90,78.40,RESTING
21:38:04.971,-0.32,0.55,10.32,0.60,-0.38,0.25,98,0,475,29.50,29.90,78.40,RESTING
21:38:04.998,0.55,1.52,9.51,0.59,-0.58,0.29,98,0,645,29.50,29.90,78.40,RESTING
21:38:05.055,1.05,2.18,9.03,0.12,-0.19,0.44,98,0,644,29.50,29.90,78.40,RESTING
21:38:05.075,1.01,2.35,9.54,-0.14,0.09,0.12,98,0,723,29.50,29.90,78.40,RESTING
21:38:05.111,0.86,1.60,9.61,0.08,-0.20,-0.17,98,0,469,29.50,29.90,78.40,RESTING
21:38:05.148,0.91,2.07,9.68,-0.13,-0.19,-0.09,98,0,479,29.50,29.90,78.40,RESTING
21:38:05.205,1.02,1.65,9.73,-0.10,-0.15,0.07,98,0,425,29.50,29.90,78.40,RESTING
21:38:05.232,0.77,2.85,9.63,-0.13,-0.03,-0.37,98,0,373,29.50,29.90,78.40,RESTING
21:38:05.271,1.33,1.87,9.76,-0.09,0.30,-0.59,98,0,372,29.50,29.90,78.40,RESTING
21:38:05.350,0.54,1.70,9.76,0.21,-0.36,-0.31,98,0,535,29.50,29.90,78.40,RESTING
21:38:05.364,2.12,1.88,11.09,0.01,-0.21,-0.08,98,0,0,29.50,29.90,78.40,RESTING
21:38:05.389,1.13,1.94,10.09,-0.01,0.25,-0.18,98,0,1,29.50,29.90,78.40,RESTING
21:38:05.431,0.57,1.88,9.21,0.31,0.05,-0.04,98,0,0,29.50,29.90,78.40,RESTING
21:38:05.470,0.73,2.30,10.15,0.45,0.50,0.24,98,0,0,29.50,29.90,78.40,RESTING
21:38:05.511,0.39,1.95,9.84,0.41,0.43,0.40,98,0,0,29.50,29.90,78.40,RESTING
21:38:05.551,0.77,2.75,9.04,0.19,0.05,0.10,98,0,0,29.50,29.90,78.40,RESTING
21:38:05.637,0.67,2.32,9.64,0.01,0.07,0.00,98,0,0,29.50,29.90,78.40,RESTING
21:38:05.639,0.19,2.33,9.42,-0.39,0.50,0.11,98,0,0,29.50,29.90,78.40,RESTING
21:38:05.681,-0.03,2.24,9.88,-0.36,0.64,0.09,98,0,0,29.50,29.90,78.40,RESTING
21:38:05.750,-0.46,1.91,9.91,0.23,0.18,0.01,98,0,106,29.50,29.90,78.40,RESTING
21:38:05.790,0.35,3.23,9.95,0.65,-0.03,0.40,98,0,884,29.50,29.90,78.40,RESTING
21:38:05.840,1.11,4.11,8.92,0.34,0.02,0.44,98,0,246,29.50,29.90,78.40,RESTING
21:38:05.880,0.06,3.43,9.38,0.00,0.00,-0.09,98,0,560,29.50,29.90,78.40,RESTING
21:38:05.909,-0.31,2.97,9.44,-0.01,0.19,-0.21,98,0,0,29.50,29.90,78.40,RESTING
21:38:05.956,0.15,3.15,9.53,-0.13,0.07,0.04,98,0,48,29.50,29.90,78.40,RESTING
21:38:05.999,-0.09,2.99,9.42,-0.01,0.03,0.19,98,0,0,29.50,29.90,78.40,RESTING
21:38:06.025,-0.04,2.99,9.45,-0.01,0.08,0.20,98,0,51,29.50,29.90,78.40,RESTING
21:38:06.057,0.26,3.15,9.40,-0.07,0.08,0.13,98,0,0,29.50,29.90,78.40,RESTING
21:38:06.104,0.20,3.56,9.52,-0.04,0.07,0.07,98,0,65,29.50,29.90,78.40,RESTING
21:38:06.158,-0.09,3.19,9.44,-0.05,0.02,0.05,98,0,0,29.50,29.90,78.40,RESTING
21:38:06.191,-0.13,3.22,9.37,-0.11,-0.01,-0.04,98,0,272,29.50,29.90,78.40,RESTING
21:38:06.221,0.01,3.12,9.57,-0.11,-0.01,-0.01,98,0,717,29.50,29.90,78.40,RESTING
21:38:06.275,-0.05,3.12,9.56,-0.11,-0.01,0.01,98,0,400,29.50,29.90,78.40,RESTING
21:38:06.305,-0.03,3.06,9.71,-0.04,0.02,-0.05,98,0,592,29.50,29.90,78.40,RESTING
21:38:06.332,-0.03,3.28,9.37,-0.05,0.02,-0.10,98,0,469,29.50,29.90,78.40,RESTING
21:38:06.384,-0.08,3.18,9.41,-0.06,0.03,-0.07,98,0,592,29.50,29.90,78.40,RESTING
21:38:06.416,-0.15,3.13,9.41,-0.07,0.06,-0.02,98,0,918,29.50,29.90,78.40,RESTING
21:38:06.452,-0.18,2.95,9.58,-0.10,0.01,0.03,98,0,592,29.50,29.90,78.40,RESTING
21:38:06.490,-0.18,3.15,9.43,0.02,0.01,-0.06,98,0,878,29.50,29.90,78.40,RESTING
21:38:06.556,-0.19,3.07,9.49,0.06,0.04,-0.08,98,0,507,29.50,29.90,78.40,RESTING
21:38:06.585,-0.21,3.37,9.34,-0.00,0.05,-0.06,98,0,560,29.50,29.90,78.40,RESTING
21:38:06.612,-0.20,3.47,9.37,0.02,0.05,-0.07,98,0,524,29.50,29.90,78.40,RESTING
21:38:06.683,-0.27,3.31,9.32,-0.03,0.04,-0.03,98,0,623,29.50,29.90,78.40,RESTING
21:38:06.706,-0.27,3.39,9.33,-0.04,0.03,-0.04,98,0,35,29.50,29.90,78.40,RESTING
21:38:06.748,-0.30,3.33,9.36,-0.02,0.01,-0.02,98,0,1178,29.50,29.90,78.40,RESTING
21:38:06.798,-0.38,3.40,9.31,-0.07,0.01,-0.01,98,0,413,29.50,29.90,78.40,RESTING
21:38:06.848,-0.36,3.36,9.47,-0.07,0.00,0.02,98,0,883,29.50,29.90,78.40,RESTING
21:38:06.879,-0.30,3.33,9.28,-0.07,-0.03,0.01,98,0,395,29.50,29.90,78.40,RESTING
21:38:06.908,-0.28,3.37,9.44,-0.07,-0.02,-0.02,98,0,701,29.50,29.90,78.40,RESTING
21:38:06.953,-0.29,3.41,9.28,-0.07,-0.02,-0.03,98,0,0,29.50,29.90,78.40,RESTING
21:38:06.983,-0.36,3.39,9.34,-0.09,-0.02,-0.01,98,0,237,29.50,29.90,78.40,RESTING
21:38:07.010,-0.32,3.35,9.35,-0.11,-0.03,0.00,98,0,0,29.50,29.90,78.40,RESTING
21:38:07.058,-0.26,3.30,9.33,-0.11,-0.05,-0.00,98,0,117,29.50,29.90,78.40,RESTING
21:38:07.092,-0.25,3.34,9.45,-0.12,-0.05,0.00,98,0,0,29.50,29.90,78.40,RESTING
21:38:07.127,-0.28,3.33,9.42,-0.12,-0.06,0.01,98,0,76,29.50,29.90,78.40,RESTING
21:38:07.170,-0.32,3.29,9.37,-0.09,-0.08,0.00,98,0,0,29.50,29.90,78.40,RESTING
21:38:07.207,-0.18,3.24,9.36,-0.15,-0.07,0.02,98,0,66,29.50,29.90,78.40,RESTING
21:38:07.249,-0.06,3.25,9.42,-0.13,-0.03,0.01,98,0,0,29.50,29.90,78.40,RESTING
21:38:07.286,-0.11,3.24,9.43,-0.15,-0.07,-0.02,98,0,0,29.50,29.90,78.40,RESTING
21:38:07.329,-0.32,3.15,9.47,-0.19,-0.20,-0.03,98,0,0,29.50,29.90,78.40,RESTING
21:38:07.379,-0.20,3.30,9.34,-0.22,-0.02,0.06,98,0,29,29.50,29.90,78.40,RESTING
21:38:07.409,0.09,2.96,9.52,-0.24,-0.02,0.20,98,0,690,29.50,29.90,78.40,RESTING
21:38:07.455,-0.03,2.88,9.79,-0.15,-0.04,0.10,98,0,716,29.50,29.90,78.40,RESTING
21:38:07.496,0.05,3.10,9.37,-0.06,-0.05,0.01,98,0,655,29.50,29.90,78.40,RESTING
21:38:07.530,-0.05,3.53,9.33,-0.19,-0.11,0.04,98,0,841,29.50,29.90,78.40,RESTING
21:38:07.569,-0.71,3.38,9.86,0.08,0.33,0.21,98,0,605,29.50,29.90,78.40,RESTING
21:38:07.623,0.51,2.47,9.49,0.20,0.60,0.04,98,0,385,29.50,29.90,78.40,RESTING
